ID,Cq
CT001,9.227353926
CT002,9.07040932
CT003,9.271934127
CT004,21.62509517
CT005,21.00794012
CT006,20.48250203
CT007,20.28286246
CT008,20.91593018
CT009,20.50720881
CT010,
CT011,
CT012,
CT013,8.366238639
CT014,8.925762864
CT015,8.459118177
CT016,20.94694302
CT017,20.59678252
CT018,20.36390885
CT019,20.2783467
CT020,20.60498595
CT021,20.42823891
CT022,
CT023,
CT024,
CT025,8.281349365
CT026,8.572508598
CT027,8.478575259
CT028,20.51974565
CT029,20.21561999
CT030,20.44462595
CT031,20.33932877
CT032,19.85927239
CT033,20.0556738
CT034,
CT035,
CT036,
CT037,8.262259156
CT038,8.277398854
CT039,8.241974873
CT040,20.32101614
CT041,19.88350092
CT042,20.33567803
CT043,19.81439546
CT044,19.57924389
CT045,19.68171613
CT046,
CT047,
CT048,
CT049,8.190706354
CT050,10.84627426
CT051,15.08173931
CT052,17.84338306
CT053,22.12738119
CT054,
CT055,19.75801176
CT056,24.12356983
CT057,25.39810916
CT058,
CT059,
CT060,
CT061,8.168235784
CT062,10.87349341
CT063,15.08381608
CT064,17.95744664
CT065,22.13319788
CT066,
CT067,19.73357222
CT068,23.05104578
CT069,
CT070,
CT071,
CT072,
CT073,8.019977356
CT074,10.87778881
CT075,14.82197047
CT076,17.76339391
CT077,21.47508664
CT078,
CT079,19.52414867
CT080,23.55937632
CT081,
CT082,
CT083,
CT084,
CT085,24.33492631
CT086,25.61323891
CT087,23.59109756
CT088,24.07133161
CT089,26.16711451
CT090,24.03829112
CT091,23.49818154
CT092,23.11696899
CT093,24.49282335
CT094,
CT095,
CT096,
CT097,
CT098,
CT099,
CT100,
CT101,
CT102,
CT103,
CT104,
CT105,
CT106,
CT107,
CT108,
CT109,
CT110,
CT111,
CT112,
CT113,
CT114,
CT115,
CT116,
CT117,
CT118,25.10886195
CT119,
CT120,
CT121,21.58120067
CT122,21.69590173
CT123,21.70179646
CT124,22.22484714
CT125,22.08161531
CT126,23.28626554
CT127,23.61742701
CT128,22.23988757
CT129,22.56794887
CT130,
CT131,
CT132,
CT133,23.00332755
CT134,22.24295141
CT135,22.06551136
CT136,22.66626952
CT137,23.04320639
CT138,22.98815824
CT139,22.40004014
CT140,23.19394603
CT141,22.76695271
CT142,
CT143,
CT144,
CT145,
CT146,
CT147,27.03704262
CT148,18.49407979
CT149,18.39878309
CT150,18.34411268
CT151,19.57238744
CT152,19.10720696
CT153,19.07398446
CT154,
CT155,
CT156,
CT157,20.87809105
CT158,20.72746449
CT159,20.41198262
CT160,18.00262697
CT161,18.02012629
CT162,18.04226209
CT163,20.07005554
CT164,20.50933225
CT165,20.24397313
CT166,
CT167,25.84734406
CT168,
CT169,
CT170,
CT171,
CT172,
CT173,
CT174,29.0493835
CT175,
CT176,
CT177,
CT178,
CT179,
CT180,
CT181,21.53347213
CT182,21.03792848
CT183,22.00618944
CT184,19.33669211
CT185,19.3906139
CT186,19.44135424
CT187,20.48434244
CT188,19.71404091
CT189,20.03929888
CT190,
CT191,
CT192,
CT193,20.49220495
CT194,21.09572673
CT195,20.60909847
CT196,21.60754439
CT197,21.1420971
CT198,20.95008652
CT199,20.27964999
CT200,20.54637696
CT201,20.80189504
CT202,
CT203,
CT204,
CT205,
CT206,29.71127983
CT207,29.19538225
CT208,
CT209,28.04001212
CT210,28.12999308
CT211,
CT212,
CT213,
CT214,
CT215,
CT216,
CT217,22.00075656
CT218,23.22663731
CT219,21.9305212
CT220,21.00121954
CT221,20.85074128
CT222,21.29158728
CT223,20.92680319
CT224,21.25993823
CT225,21.4302173
CT226,
CT227,
CT228,
CT229,
CT230,
CT231,
CT232,20.62918053
CT233,20.86053026
CT234,20.85872524
CT235,19.88041347
CT236,20.28508314
CT237,20.26529897
CT238,
CT239,
CT240,
CT241,21.05355011
CT242,21.08607916
CT243,20.83403499
CT244,22.6009091
CT245,23.43704111
CT246,22.82394656
CT247,21.22653167
CT248,21.11579988
CT249,20.89899126
CT250,
CT251,
CT252,
CT253,
CT254,
CT255,
CT256,29.80676174
CT257,
CT258,28.58047243
CT259,7.416763936
CT260,7.318414922
CT261,7.245061297
CT262,10.50788442
CT263,10.48747719
CT264,10.60285591
CT265,14.11194081
CT266,14.34428365
CT267,14.16043518
CT268,17.88179115
CT269,17.55588347
CT270,17.32352175
CT271,22.82108518
CT272,22.12134606
CT273,22.60856977
CT274,
CT275,
CT276,
CT277,
CT278,
CT279,
CT280,19.52894649
CT281,19.24834844
CT282,19.00385859
CT283,19.79365959
CT284,20.01648143
CT285,19.95622142
CT286,
CT287,
CT288,24.90465653
CT289,
CT290,
CT291,26.38257917
CT292,
CT293,
CT294,
CT295,
CT296,27.33720531
CT297,
CT298,
CT299,
CT300,
CT301,18.48276196
CT302,18.68766283
CT303,18.42484361
CT304,17.65979875
CT305,17.71987957
CT306,17.40307453
CT307,19.09704145
CT308,18.49808543
CT309,18.19056981
CT310,
CT311,
CT312,
CT313,
CT314,
CT315,
CT316,
CT317,
CT318,
CT319,
CT320,
CT321,
CT322,
CT323,
CT324,
CT325,21.15789223
CT326,21.41422981
CT327,21.00055488
CT328,21.25533493
CT329,20.8862697
CT330,21.37242924
CT331,20.98191079
CT332,21.03963021
CT333,20.59980913
CT334,
CT335,
CT336,
CT337,19.71755335
CT338,20.48878576
CT339,19.64081253
CT340,20.86751201
CT341,20.67292567
CT342,20.95253293
CT343,
CT344,
CT345,
CT346,29.91519511
CT347,29.96271498
CT348,
CT349,
CT350,
CT351,
CT352,
CT353,
CT354,
CT355,7.021352567
CT356,6.863912658
CT357,7.079739977
CT358,10.26230209
CT359,10.14021567
CT360,10.10091096
CT361,14.04633687
CT362,13.9384561
CT363,13.96809979
CT364,17.22928593
CT365,17.2547787
CT366,17.12987725
CT367,21.56045463
CT368,22.3024382
CT369,22.55243897
CT370,22.33196901
CT371,
CT372,
CT373,
CT374,
CT375,
CT376,
CT377,
CT378,25.13041224
CT379,25.50324004
CT380,
CT381,25.63868803
CT382,
CT383,26.06562177
CT384,
CT385,
CT386,26.76918533
CT387,25.87690555
CT388,24.29973124
CT389,25.24638625
CT390,25.92846656
CT391,24.04280134
CT392,
CT393,25.67313505
CT394,25.18566905
CT395,24.07522273
CT396,22.9300788
CT397,21.99471899
CT398,23.251119
CT399,22.43241093
CT400,20.07694789
CT401,20.03295292
CT402,19.28530479
CT403,21.33665826
CT404,20.75557891
CT405,20.68522308
CT406,20.54053848
CT407,21.06483595
CT408,20.42125819
CT409,17.04453806
CT410,16.85480427
CT411,17.07005701
CT412,
CT413,
CT414,
CT415,26.71651573
CT416,23.70245645
CT417,23.72296152
CT418,23.39919033
CT419,24.61794649
CT420,24.36369055
CT421,
CT422,
CT423,25.79367032
CT424,24.83617477
CT425,23.95210809
CT426,
CT427,
CT428,
CT429,
CT430,22.05374438
CT431,21.76159597
CT432,22.34169883
CT433,21.95216281
CT434,21.47452623
CT435,22.58817117
CT436,23.47600755
CT437,22.11416004
CT438,22.70445683
CT439,16.60795439
CT440,16.91452452
CT441,17.07568527
CT442,23.41115407
CT443,25.89020472
CT444,23.86782386
CT445,22.96941387
CT446,23.01301364
CT447,23.18479798
CT448,
CT449,
CT450,
CT451,8.667860231
CT452,8.314486618
CT453,8.276024637
CT454,11.50084946
CT455,11.79776192
CT456,11.64726952
CT457,14.79162543
CT458,14.68957893
CT459,14.69949591
CT460,18.32319904
CT461,18.39155997
CT462,18.36950238
CT463,23.85403196
CT464,22.99816134
CT465,23.35250765
CT466,
CT467,
CT468,
CT469,
CT470,
CT471,
CT472,
CT473,
CT474,
CT475,21.27518539
CT476,21.38459101
CT477,23.24441279
CT478,20.21244286
CT479,20.0715567
CT480,24.2058286
CT481,19.49845374
CT482,19.57918207
CT483,19.36804174
CT484,19.83208507
CT485,20.45675655
CT486,19.49215716
CT487,20.03948338
CT488,19.74232661
CT489,19.81018299
CT490,
CT491,
CT492,29.97844396
CT493,
CT494,
CT495,27.81097265
CT496,
CT497,
CT498,
CT499,
CT500,28.67573643
CT501,
CT502,29.32142258
CT503,29.16704962
CT504,27.75685196
CT505,
CT506,
CT507,25.4813988
CT508,
CT509,
CT510,
CT511,
CT512,
CT513,
CT514,
CT515,
CT516,
CT517,
CT518,
CT519,
CT520,
CT521,
CT522,
CT523,
CT524,
CT525,
CT526,
CT527,
CT528,
CT529,
CT530,
CT531,
CT532,
CT533,
CT534,
CT535,
CT536,
CT537,
CT538,
CT539,
CT540,
CT541,
CT542,
CT543,
CT544,
CT545,
CT546,
CT547,6.747652713
CT548,6.712691522
CT549,6.886425161
CT550,10.09817482
CT551,10.10177597
CT552,10.14098409
CT553,13.83472561
CT554,13.45883582
CT555,13.54738413
CT556,16.58893478
CT557,16.81013061
CT558,16.54077444
CT559,21.98597851
CT560,21.50293325
CT561,21.94426585
CT562,
CT563,
CT564,
CT565,
CT566,
CT567,
CT568,
CT569,
CT570,
CT571,
CT572,
CT573,
CT574,
CT575,
CT576,
CT577,
CT578,
CT579,
CT580,
CT581,
CT582,
CT583,
CT584,
CT585,
CT586,
CT587,
CT588,
CT589,
CT590,
CT591,
CT592,
CT593,
CT594,
CT595,
CT596,
CT597,
CT598,
CT599,
CT600,
CT601,
CT602,
CT603,
CT604,
CT605,
CT606,
CT607,
CT608,
CT609,
CT610,
CT611,
CT612,
CT613,
CT614,
CT615,
CT616,
CT617,
CT618,
CT619,
CT620,
CT621,
CT622,
CT623,
CT624,
CT625,
CT626,
CT627,
CT628,
CT629,
CT630,
CT631,
CT632,
CT633,
CT634,
CT635,
CT636,
CT637,
CT638,
CT639,
CT640,
CT641,25.20532619
CT642,
CT643,7.577903194
CT644,7.608556676
CT645,7.740341792
CT646,10.71527539
CT647,10.93687745
CT648,10.95023282
CT649,14.77373254
