Sample,Biological_replicate,Site,Date,Region,Island,Lat,Lon,Depth_m,Visual_presence,Sample_type
KW2A,1,KAUAI04,8/24/2023,MHI,Kauaʻi,22.881428,-160.476408,1,,Sample
KW3A,2,KAUAI04,8/24/2023,MHI,Kauaʻi,22.881428,-160.476408,1,,Sample
KK2A,1,KAUAI03,8/24/2023,MHI,Kauaʻi,22.878628,-160.468317,4.5,,Sample
KK3A,2,KAUAI03,8/24/2023,MHI,Kauaʻi,22.878628,-160.468317,4.5,,Sample
KP2A,1,KAUAI07,8/25/2023,MHI,Kauaʻi,22.872714,-160.455483,5,,Sample
KP3A,2,KAUAI07,8/25/2023,MHI,Kauaʻi,22.872714,-160.455483,5,,Sample
KS2A,1,KAUAI08,8/25/2023,MHI,Kauaʻi,22.898656,-160.607567,0.5,1,Sample
KS3A,2,KAUAI08,8/25/2023,MHI,Kauaʻi,22.898656,-160.607567,0.5,1,Sample
OM2A,1,OA23,11/15/2022,MHI,Oʻahu,22.319931,-158.6694,6.5,,Sample
OM3A,2,OA23,11/15/2022,MHI,Oʻahu,22.319931,-158.6694,6.5,,Sample
OH2A,1,OA21,11/10/2022,MHI,Oʻahu,22.599803,-159.116044,2,1,Sample
OH3A,2,OA21,11/10/2022,MHI,Oʻahu,22.599803,-159.116044,2,1,Sample
OW2A,1,OA24,10/27/2022,MHI,Oʻahu,22.477442,-159.226064,2,1,Sample
OW3A,2,OA24,10/27/2022,MHI,Oʻahu,22.477442,-159.226064,2,1,Sample
OFB,,FEB,10/27/2022,MHI,Oʻahu,,,,,Control
KNB,,FEB,8/24/2023,MHI,Kauaʻi,,,,,Control
